"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","11.5481171548117","4.44242973708069","3.45721694036301","5.98086124401914","8.46273291925466","7.17264386989158","7.38112136266856","6.95652173913043","9.96865203761756","10.4733658990463","14.6135856855387","12.0263061074319","6.98684337504423","9.20112781954887","6.75040772462657","10.1469591831967","4.63395440930091","5.19546546091772","7.8457327066112","5.51251090091903","4.09241278666362","7.79758981373619","5.48505272532232","5.81039927496665","6.53380822631192","6.40886403549311","9.31072753968346","6.50813575516857","7.30250961604362","10.7780680022581","10.8424284167023","9.85304562754346","9.80894978632302","9.17367091657368","7.65226742762219","8.37109771031799","7.19887355976465","6.97753619151256","6.31054046086371","5.74993012699667","7.52194716570734","8.28461325737366","9.25662414317212","7.98471196148705","6.89992246235312","8.72728519855012","9.2632949729216","9.01279678281619","10.2495596281876","12.6256313389792","10.4548954962589","9.52891660350855","10.3419220993382","10.2413068639052","10.4112513255181","","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","0.418410041841004","0.543970988213962","2.33362143474503","0.318979266347687","0","0.0834028356964137","0","0","0","0.0232612235403582","0.587371512481645","0.657652685798381","0.778460449705665","0.921052631578947","5.69626405434888","0.287376463166748","0.803421840889476","0.657681240940657","0.59340501017523","0.019006730618725","0.279781009808003","0.00324713541772368","0.000506001173922724","0.34562925351962","0.522165288795068","0.504321101765413","0.511000381516122","0.476810521681296","0.0296714079626358","0.38509048786783","0.393900420786686","0.339371872418598","0.543814426465048","0.423698741526476","0.530489687703123","0.612584219498577","0.644783893230252","0.872063780846015","0.558165990639134","0.232263644732078","0.726991715708127","0.518073604013982","0.535493724707866","0.676189732730778","0.730495014384666","0.505003042043067","0.662936196978977","0.81401585794491","1.06933441547699","0.842661218519258","0.778024738398566","0.73514435776148","0.729742480377633","0.847251019903846","0.708739922151264","","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.940919129046886","1.22033459844991","1.10483730210962","1.14428557475968","0.93325771365909","1.12913385410093","1.03722881854","1.19914642855034","1.15082214530422","1.32374588107375","2.01578254249564","1.77693794735578","2.04328758134473","1.78871720167737","1.65947677059975","2.28997523817161","1.8041898581914","","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","0.836820083682008","0.453309156844968","0.691443388072602","0","0.232919254658385","3.83653044203503","0.56777856635912","0.40133779264214","0.626959247648903","0.465224470807164","0","0","0.295943642036864","1.09257518796992","3.4562087550088","1.87261979860284","0.10915367822511","0.382926248837159","0.886055432492301","0.929652735851166","1.19388152505271","0.996058789386738","2.08371283421378","1.66341114682488","1.43304845954265","1.72786301876329","3.39086904748142","1.2529156635535","2.4669059324428","2.41937865398849","1.83080615871543","1.18685872028244","1.4893694546607","1.0506964094681","0.836760117976505","0.925912425646547","0.733701627012042","1.10246150715122","1.33155536234293","0.84203769626082","0.24703038462066","0.486946297576578","0.5912644091224","0.376812658875459","0.417702186359763","0.37311406106784","0.693787187912372","0.257617332876835","0.858329197308373","0.601615316753701","0.44782879924622","0.374283832003172","0.731951769294964","0.475177873338507","1.61904927081697","","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","3.01255230125523","1.99456029011786","6.30942091616249","2.15311004784689","2.25155279503106","13.7614678899083","5.46486870120653","10.5685618729097","10.846394984326","6.82716910909514","4.00826671017567","6.19021339220015","3.77649821468781","5.6296992481203","12.4596325618067","7.79537861264924","7.65218053510687","6.57681240940657","5.73864966592829","4.47161288879945","4.67614788552704","3.80848395306266","5.4891007347137","7.21712159507338","6.08603870439772","7.09573435622516","9.69050949743922","6.40040842708733","9.67956551028971","8.32221885462647","7.78895530265041","7.44917648128321","6.65753616085124","4.97968451086226","4.85888603767275","5.02457247176897","5.74362760895657","7.14171682066953","6.62022209560486","5.61424098756925","5.07723737677338","4.53339846733311","4.76379837683981","4.1236278332156","4.33336238963159","5.13235944199639","5.27592512461705","5.32016595783227","9.79256198829844","7.3808504131459","8.38310046244316","7.04280953538315","7.32551051033036","7.53475042268002","8.98923114801417","","",
"Tunisia","TUN","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","80.418410041841","79.7824116047144","84.7018150388937","80.3030303030303","76.3198757763975","69.0575479566305","71.4691270404542","68.561872909699","67.7742946708464","70.3535705978134","69.7938761081199","70.7183590875644","81.1754109434812","77.6926691729323","75.0148508969942","75.674633770239","82.0137584403716","80.7682322653225","79.9962180560808","84.2333579302788","84.7082891279338","79.5487293553219","79.3951261966928","80.4454902137385","62.5510308463448","77.8081384601165","71.1643178376129","75.9018650879149","72.3660565779422","72.1380395535565","72.7878238423925","67.1777357811675","73.9275337806573","75.6364974342028","77.7736086118675","77.4374785386873","76.919238829954","81.5110543869575","83.9149847718956","84.2659099664263","83.7136880283586","83.0120241639753","82.1964636078886","87.8815377018407","88.7646241663137","86.0780863371218","85.4583939170809","85.6666728561324","79.9423050591916","79.9864769119737","81.1595055853402","83.4259683471714","82.3253350092786","82.2213657753685","80.596449341546","","",
"Tunisia","TUN","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","119690000","110333000","115929000","126000000","129689000","119848000","140362000","149257000","157771000","165638000","182476000","217439000","315128000","422052000","921399000","855564000","787970000","929197000","1126390000","1790690000","2198000000","2500000000","1986000000","1850000000","1794000000","1738000000","1759000000","2139000000","2395000000","2930000000","3526000000","3699000000","4019000000","3802000000","4657000000","5475000000","5516000000","5559000000","5738000000","5872000000","5850000000","6631000000","6874280000","8026800000","9684810000","10493600000","11694351000","15165396000","19319957000","14445136000","16426557000","17846965000","17007446000","17060465000","16755613000","14073000000","",
"Tunisia","TUN","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","12.3012552301255","4.44242973708069","3.45721694036301","5.98086124401914","8.46273291925466","7.08924103419516","7.38112136266856","6.95652173913043","9.52978056426332","9.97906489881368","14.102354924675","12.0263061074319","6.9997104899154","9.19877819548872","6.87353516152376","10.1504637742109","4.57049296847236","5.36637604655691","8.01952203432564","5.63661367142953","3.88649396344493","7.85116754812863","5.69251320663064","4.92774997607615","6.00141351957074","6.23209169054441","9.52518584459577","6.46972862080917","7.5260899436494","10.0316530818439","10.4434047475745","9.89737536429766","9.80950898488642","9.97484624258401","8.2153177805947","8.62820500828338","7.65055554035207","7.21689130002623","6.66689107873223","5.83386854979567","7.41293336280648","8.31308475892508","9.28806511930969","7.98186247600419","6.97878635352084","9.24419201582082","9.56070661761457","9.28618867979573","10.012890497085","12.5955315865836","11.0276481121972","10.4297558031752","11.1658947848793","11.1839929918615","11.4324816665294","","",
"Tunisia","TUN","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","22.831812986899","22.0757305534976","24.0371136583881","30.5000395874388","26.2120513519719","22.9065376296317","20.9217719209838","17.3927394165938","18.9941338215948","16.593311092694","11.6474286080155","10.9235640348288","15.0219152040561","16.0096731804064","10.2014959823652","7.490986998725","5.66954048546067","3.70448744976798","3.61630503413825","2.6797460074411","2.9018159128786","2.77036339225276","2.67913666876401","2.50946776587386","2.52829478608376","2.14431597315308","2.61869159926476","2.60600883571117","1.64854325800588","1.06270642688407","1.29406219971524","1.44795640177375","1.34778339509252","1.71987346818838","1.59311248157018","1.24634677359975","1.24289002095457","1.36084137285296","1.54153991699082","1.39454207194901","1.38731475550678","1.33913585634831","1.07074422585309","1.15336037099316","1.2412567405646","1.37080367090395","1.72135814564979","1.24642817254471","1.56398224610318","1.65300878779825","1.69153166313283","1.50131905701929","1.59383143564359","1.40209444442636","",
"Tunisia","TUN","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","8.5497084411593","9.21691301557899","9.3290024104625","18.8442508991789","13.2165731440583","21.3191346979321","20.4800725289888","18.7641040196474","19.1142050440217","16.466140763814","15.1243095344439","21.7584501488661","22.4232156802824","19.6273932416936","25.7202028815118","33.4443743810192","38.0450049535209","33.7578334523462","35.7167198629313","33.2979619018127","41.3543718423262","43.3978507397918","41.9111459547679","44.5042336712751","59.7644713787777","60.2904130372489","67.5981530918763","66.0730583748108","69.1067650866824","68.8540567724998","72.8671193755183","75.0977321405008","75.805982402388","79.3943172973719","79.8130324202671","77.9863670621405","82.2662974884314","79.6442655618601","76.9991167059482","80.734992388956","81.3247814535289","80.9093085797467","77.5867602234673","74.8829626528556","73.3122742154475","69.780032826771","71.5664164213721","75.3745453451488","76.0255571297198","73.23165951316","71.3248046133908","73.1211282359721","76.8646910814908","76.5331476360408","",
"Tunisia","TUN","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","3.10679611650485","1.82242990654206","2.31046931407943","2.47368421052632","1.74563591022445","1.83006535947713","1.71846435100548","1.60000000000001","2.08978328173374","2.93080054274085","2.88184438040345","2.49739854318418","1.38522427440633","1.42743854084061","1.51843817787419","2.56410256410258","2.09706411024565","1.58163265306122","1.63710777626194","1.54117129018054","1.78861788617886","2.15439856373429","2.0687237026648","1.87659033078881","1.87234042553191","2.19164118246687","2.51625671473","2.77698253650157","2.55065554231228","2.62029342361752","2.6258246584559","2.44265008953005","2.27442528735632","2.31991479055109","2.6005538704998","2.95638340182951","2.85083289567594","2.97879207627859","3.00902578426048","3.76111609692421","",
"Tunisia","TUN","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3976274408","1.3246989661","1.2509754261","1.4010488391","1.5621671168","1.9779238404","3.419546001","3.1433055141","3.8626168545","4.6635024171","6.5261790405","7.3768333211","6.7021422384","5.8457523826","","","",
"Tunisia","TUN","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","0.0195118448517887","0.0278851570555661","0.144357616408393","0.114992998096932","6.39359635374688","14.8592772295102","19.8846871425487","26.0268904807932","27.2255232753548","27.7956332365324","27.1091669779666","31.8359589628907","35.9075036452529","43.5959106783236","42.3552323287921","41.8856295327202","38.4945956682373","48.5830066732999","52.4882786758428","54.015416759458","45.9359304394782","45.5049326404699","44.2869195546124","42.1831888667166","24.2689657545322","23.6203459858783","16.1339525015288","20.0093510951908","17.2766566545543","14.3196506206039","15.1018490507548","11.4649228025503","9.47913887414998","8.4694096442308","10.5099073293534","9.07632619786103","6.43548068455565","7.16278246744688","12.0885157619652","9.23872982397118","9.36493973276971","10.0197774040175","9.58784294552644","12.952830271945","12.9935426255157","16.2078898437253","17.3239757413142","13.6405873501928","14.1773060218056","14.5556321469682","16.7879967994698","15.2160314520212","13.1898466039483","7.21191047436835","",
"Tunisia","TUN","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","63.5081901958634","63.7040170688874","61.6596525418792","44.5137968232449","48.4165206124042","35.4336422734298","33.1475159140779","31.957274232808","29.8997308947269","35.4263932855616","43.2727480614055","32.7938460894266","24.7684201653383","19.2074627330497","19.9083882984662","15.1738141348852","15.7298475419511","12.7745642470415","7.17160827254442","9.213789960226","8.74599996194272","7.24182189624681","10.228089536057","9.69816606354145","12.2164516162206","12.6737491339084","12.3065093677745","9.91289094500755","10.9899095994161","14.9616385652453","10.1297116608043","11.2780818483024","12.791178250704","9.77009996591159","7.34712225070485","10.9939584579805","9.45843225385547","11.2300546888559","8.7095822417764","7.88744217266967","6.78020354786312","6.93873058478643","11.0770512008332","10.3712069409207","11.8349570255467","9.51987450026821","8.88458261178768","9.23866892517847","7.72873640141983","10.0903117507633","9.33667450020249","9.71038099976438","7.85098208349157","14.2300524963099","",
"Tunisia","TUN","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","5.09076100387307","4.97538198625679","4.82986904473414","6.02683374123527","5.76125782531264","5.48140615941221","5.56595122573058","5.68322380324305","4.68355315152487","3.71852347496996","2.84635164335975","2.68818413580146","1.87894803957881","1.559561568116","1.80876996282077","1.99877523859069","2.05501196431931","1.17738319982802","0.879182759252998","0.725023719630131","0.90278148944308","0.902888882269736","0.722448907516379","0.83011340253158","0.747383790860247","0.830344957287581","0.912582824921548","0.962409872998308","0.952009173998901","0.747860773977631","0.60700753366231","0.604980252788331","0.57546572556575","0.646183872100345","0.736807846475347","0.696955531991834","0.596384382299379","0.602041828210061","0.659612816419286","0.713295892174105","0.719937999672792","0.782150908316559","0.676121351377367","0.638121475448996","0.617548795437987","0.479819250176859","0.471553038509734","0.48933437598983","0.500830191080498","0.468364139894656","0.486761887984378","0.449551661430463","0.499021177937101","0.622243121444741","",
"Tunisia","TUN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","34.6746353823","43.1600778259","37.6280950061","39.0480649277","38.8777221659","38.086465896","34.5716648782","39.3144960257","40.9336512739","50.5826622593","56.3461868259","61.3934967562","66.0561629255","66.0353144527","81.2347912935","82.0985096948","79.2436766507","87.1874452839","90.810587003","93.8044483403","100","115.5428348662","117.4332382458","115.7145340258","123.5543756159","124.9977109719","131.5399641677","152.0346198724","165.683927856","142.0624749314","155.7849610354","147.3069807757","146.9923338596","142.8784570311","140.4658398581","144.2260745043","",
